学校,专业,最低分,平均分,最高分,招生年份,科类,批次,最低位次,省控线,专业类别
四川大学,微电子科学与工程,638,640,653,2021,理科,本科一批,5952,521,电子信息类
四川大学,法语,638,639,642,2021,理科,本科一批,5952,521,外国语言文学类
四川大学,生物科学类,637,642,656,2021,理科,本科一批,6204,521,生物科学类
四川大学,口腔医学技术,637,643,649,2021,理科,本科一批,6204,521,医学技术类
四川大学,食品卫生与营养学,637,640,642,2021,理科,本科一批,6204,521,公共卫生与预防医学类
四川大学,预防医学,637,639,645,2021,理科,本科一批,6204,521,公共卫生与预防医学类
四川大学,环境工程,637,637,637,2021,理科,本科一批,6204,521,环境科学与工程类
四川大学,新闻传播学类,637,641,654,2021,理科,本科一批,6204,521,新闻传播学类
四川大学,医学技术类,637,639,647,2021,理科,本科一批,6204,521,医学技术类
四川大学,电气类,637,639,654,2021,理科,本科一批,6204,521,电气类
四川大学,工商管理类,637,639,644,2021,理科,本科一批,6204,521,工商管理类
四川大学,经济学类,637,640,656,2021,理科,本科一批,6204,521,经济学类
四川大学,法医学,637,644,655,2021,理科,本科一批,6204,521,法医学类
四川大学,建筑学,637,641,647,2021,理科,本科一批,6204,521,建筑类
四川大学,英语,637,641,657,2021,理科,本科一批,6204,521,外国语言文学类
四川大学,化学类,637,640,645,2021,理科,本科一批,6204,521,化学类
四川大学,高分子材料与工程,637,638,653,2021,理科,本科一批,6204,521,材料类
四川大学,口腔医学,684,686,695,2022,理科,本科一批,230,515,口腔医学类
四川大学,口腔医学,675,677,683,2022,理科,本科一批,551,515,口腔医学类
四川大学,临床医学,673,676,685,2022,理科,本科一批,660,515,临床医学类
四川大学,口腔医学,664,669,675,2022,理科,本科一批,1326,515,口腔医学类
四川大学,临床医学,655,660,669,2022,理科,本科一批,2306,515,临床医学类
四川大学,临床医学,655,660,673,2022,理科,本科一批,2306,515,临床医学类
四川大学,数学与应用数学,653,655,664,2022,理科,本科一批,2551,515,数学类
四川大学,网络空间安全,652,653,654,2022,理科,本科一批,2693,515,计算机类
四川大学,数学与应用数学,650,652,655,2022,理科,本科一批,2978,515,数学类
四川大学,生物科学,645,650,655,2022,理科,本科一批,3777,515,生物科学类
四川大学,数学类,644,646,649,2022,理科,本科一批,3946,515,数学类
四川大学,核工程与核技术,641,645,647,2022,理科,本科一批,4504,515,核工程类
四川大学,计算机类,640,644,655,2022,理科,本科一批,4709,515,计算机类
四川大学,药学,640,645,651,2022,理科,本科一批,4709,515,药学类
四川大学,生物医学工程,640,641,642,2022,理科,本科一批,4709,515,生物医学工程类
四川大学,法医学,640,647,653,2022,理科,本科一批,4709,515,法医学类
四川大学,软件工程,639,642,654,2022,理科,本科一批,4918,515,计算机类
四川大学,生物科学类,639,642,648,2022,理科,本科一批,4918,515,生物科学类
四川大学,法医学,639,647,652,2022,理科,本科一批,4918,515,法医学类
四川大学,航空航天类,638,638,639,2022,理科,本科一批,5123,515,航空航天类
四川大学,网络空间安全,638,641,652,2022,理科,本科一批,5123,515,计算机类
四川大学,中国语言文学类,638,639,642,2022,理科,本科一批,5123,515,中国语言文学类
